qs_new,original_text,trans,final_climate,manifesto_id,year,party,country,language,date,source,is_primary_doc,handbook,partyname,partyabbrev,parfam,pervote,party_id,kw_cc,kw_c,kw_gw,kw_cer,kw_se,any_kw
82220_201310_0135,"Podporu učňovskému a technickému školství a změny ve financování vzdělávání, posilující jeho efektivnost a kvalitu.","Support for apprenticeships and technical education and changes in the financing of education, strengthening its effectiveness and quality.",0,82220_201310,2013,82220,Czech Republic,czech,201310,MARPOR,TRUE,4,Communist Party of Bohemia and Moravia,KSČM,20,14.91,82220,0,0,0,0,0,0
88820_201610_0059,Šeimos puoselėjimas ir palankios aplinkos šeimai sukūrimas yra ilgalaikė ir vertingiausia investicija į patį žmogų.,Nurturing a family and creating a family-friendly environment is a long-term and most valuable investment in a person.,0,88820_201610,2016,88820,Lithuania,lithuanian,201610,MARPOR,TRUE,5,Lithuanian Peasant and Green Union,LVŽS,80,22.452,88820,0,0,0,0,1,1
83410_201103_0541,"Selleks muudame uute taastuvenergiaarenduse toetusi selliselt, et turul elektrihinna suurenedes vähenevad toetused.","For this purpose, we change the subsidies for new renewable energy development in such a way that subsidies decrease as the price of electricity increases in the market.",1,83410_201103,2011,83410,Estonia,estonian,201103,MARPOR,TRUE,3,Social Democratic Party,SDE,30,17.093,83410,0,0,0,1,0,1
83411_201903_0254,Selleks tuleb suurendada taastuvenergia osakaalu nii elektri- kui soojuse tootmisel ja transpordikütuste tarbimisel,"To this end, the share of renewable energy in both electricity and heat production and consumption of transport fuels must be increased",1,83411_201903,2019,83411,Estonia,estonian,201903,MARPOR,TRUE,5,Estonian Center Party,K,40,23.099,83411,0,0,0,1,0,1
81711_202007_2405,"Težište hrvatske vanjske politike prema Bosni i Hercegovini bit će zalaganje za ustavnu ravnopravnost Hrvata u BiH,","The focus of Croatian foreign policy towards Bosnia and Herzegovina will be advocacy for the constitutional equality of Croats in BiH,",0,81711_202007,2020,81711,Croatia,croatian,202007,MARPOR,TRUE,5,Croatian Democratic Union,HDZ,70,37.255,81711,0,0,0,0,0,0
83410_201903_0647,"Toetame avaliku ja erasektori koostööd, kaasamaks teadus- ja arendustegevusse senisest rohkem erasektori vahendeid.",We support public and private sector cooperation in order to involve more private sector funds in research and development.,0,83410_201903,2019,83410,Estonia,estonian,201903,MARPOR,TRUE,5,Social Democratic Party,SDE,30,9.833,83410,0,0,0,0,0,0
51421_201912_0632,We will protect the natural environment and reverse biodiversity loss at the same time as combating climate change.,,1,51421_201912,2019,51421,United Kingdom,english,201912,MARPOR,TRUE,5,Liberal Democrats,LibDems,40,11.537,51421,1,1,0,1,1,1
96952_200606_0390,Z tohto hľadiska je dôležité:• Zvýšenie produkcie obnoviteľných zdrojov energie podporou technológií na ich výrobu;,"From this point of view, it is important to: • Increase the production of renewable energy sources by supporting technologies for their production;",1,96952_200606,2006,96952,Slovakia,slovak,200606,MARPOR,TRUE,3,Party of the Hungarian Coalition,SMK/MKP,90,11.685,96952,0,0,0,1,0,1
21421_201905_0683,Zo kunnen onze oplossingen wereldwijd bijdragen aan de strijd tegen de opwarming van de aarde en voor duurzaamheid.,"In this way, our solutions can contribute worldwide to the fight against global warming and sustainability.",1,21421_201905,2019,21421,Belgium,dutch,201905,MARPOR,TRUE,5,Open Flemish Liberals and Democrats,openVLD,40,8.544,21421,0,0,1,1,1,1
55711_201605_0047,"//Γνωρίζουμε ότι η βιώσιμη ανάπτυξη δεν θα προέλθει μέσω αύξησης των κρατικών δαπανών, αλλά με ιδιωτικές επενδύσεις.","//We know that sustainable development will not come through increased government spending, but through private investment.",0,55711_201605,2016,55711,Cyprus,greek,201605,MARPOR,TRUE,5,Democratic Coalition,DISY,70,30.685,55711,0,0,0,0,1,1
51320_201706_0211,A Labour government will put us back on track to meet the targets in the Climate Change Act and the Paris Agreement.,,1,51320_201706,2017,51320,United Kingdom,english,201706,MARPOR,TRUE,5,Labour Party,Labour,30,39.988,51320,1,1,0,1,0,1
86710_201804_1897,"A megújuló közösségi közlekedés alapja az integrált ütemes menetrend (ITF) lesz, mely minden szolgáltatóra kiterjed,","The basis of renewable public transport will be the integrated timetable (ITF), which covers all service providers,",0,86710_201804,2018,86710,Hungary,hungarian,201804,MARPOR,TRUE,5,Movement for a Better Hungary,Jobbik,70,19.064,86710,0,0,0,1,0,1
51320_200106_1670,"by working to tackle global climate change, meeting our own tough targets and pushing other countries to meet theirs",,1,51320_200106,2001,51320,United Kingdom,english,200106,MARPOR,TRUE,999,Labour Party,Labour,30,40.67,51320,1,1,0,1,0,1
53520_201602_0489,Fine Gael understands that the recent flooding has been extremely difficult for many communities across our country.,,0,53520_201602,2016,53520,Ireland,english,201602,MARPOR,TRUE,5,Family of the Irish,,50,25.516,53520,0,0,0,0,0,0
32956_201803_0489,Il quarto è la necessità di una POLITICA ENERGETICA SOSTENIBILE caratterizzata dai principi del risparmio energético,The fourth is the need for a SUSTAINABLE ENERGY POLICY characterized by the principles of energy saving,1,32956_201803,2018,32956,Italy,italian,201803,MARPOR,TRUE,5,Five Star Movement,M5S,95,32.165,32956,0,0,0,0,1,1
14620_201904_0215,Kukaan ei voi väistää kysymystä ilmastonmuutoksesta kuten ei myöskään ympäristön puhtaudesta ja lajien säilymisestä.,"No one can avoid the question of climate change, as well as the cleanliness of the environment and the preservation of species.",1,14620_201904,2019,14620,Finland,finnish,201904,MARPOR,TRUE,5,National Coalition,KK,60,17.001,14620,0,1,0,1,1,1
21322_200706_4888,Le réchauffement de la planète est donc l’un des enjeux fondamentaux des relations Nord/Sud dans les années à venir.,Global warming is therefore one of the fundamental issues for North/South relations in the years to come.,1,21322_200706,2007,21322,Belgium,french,200706,MARPOR,TRUE,3,Francophone Socialist Party,PS,30,10.864,21322,1,0,1,0,0,1
23951_200906_0092,"Luxemburg, dank seiner Erfahrung als Finanzplatz, sollte im Handel mit Emissionsrechten eine wichtige Rolle spielen.","Luxembourg, thanks to its experience as a financial center, should play an important role in emissions trading.",1,23951_200906,2009,23951,Luxembourg,german,200906,MARPOR,TRUE,3,Alternative Democatic Reform Party,ADR,95,8.127,23951,0,0,0,1,0,1
13410_201906_0690,Miljø og klima samt fremtidens arbejdsmarked er blandt de vigtigste udfordringer for dansk økonomi i de næste ti år.,The environment and climate as well as the future labor market are among the most important challenges for the Danish economy in the next ten years.,1,13410_201906,2019,13410,Denmark,danish,201906,MARPOR,TRUE,5,Danish Social-Liberal Party,RV,40,8.628,13410,0,1,0,1,1,1
93411_199611_0012,Pensiile ţăranilor cooperatori CAP vor fi recalculate corelat cu momentul când au început să lucreze în agricultură.,The pensions of CAP cooperative farmers will be recalculated in relation to the time when they started working in agriculture.,0,93411_199611,1996,93411,Romania,romanian,199611,MARPOR,TRUE,3,Democratic Convention of Romania,CDR,50,30.169,93411,0,0,0,0,0,0
93041_200411_0088,restructurarea exporturilor romanesti in sensul sporirii ponderii produselor care incorporeaza valoare adaugata mare,the restructuring of Romanian exports in the sense of increasing the share of products that incorporate high added value,0,93041_200411,2004,93041,Romania,romanian,200411,MARPOR,TRUE,3,Justice and Truth Alliance,ADA,40,31.5,93041,0,0,0,0,0,0
92436_201510_1836,Uczelnie techniczne powinny być zachęcane do współpracy ze środowiskami biznesu i komercjalizacji wyników naukowych.,Technical universities should be encouraged to cooperate with business communities and commercialize scientific results.,0,92436_201510,2015,92436,Poland,polish,201510,MARPOR,TRUE,5,Law and Justice,PiS,60,37.575,92436,0,0,0,0,1,1
14110_201504_0026,Utelias ja rohkea yhteiskunta ottaa käyttöön älykkäitä ja kestäviä energiaratkaisuja uusien työpaikkojen luomiseksi.,A curious and brave society adopts smart and sustainable energy solutions to create new jobs.,1,14110_201504,2015,14110,Finland,finnish,201504,MARPOR,TRUE,5,Green Union,VL,10,8.526,14110,0,0,0,0,1,1
96423_201006_0291,"V oblasti energetiky vláda kontinuálne nadviaže na program z roku 2006, podľa ktorého sa energetika stala prioritou.","In the field of energy, the government will continuously build on the program from 2006, according to which energy became a priority.",1,96423_201006,2010,96423,Slovakia,slovak,201006,MARPOR,TRUE,3,Direction-Social Democracy,Smer,30,34.795,96423,0,0,0,0,0,0
53951_200705_1610,"We fully recognise that global warming is one of the most serious challenges facing us all, demanding urgent action.",,1,53951_200705,2007,53951,Ireland,english,200705,MARPOR,TRUE,3,We Ourselves,SF,95,6.942,53951,1,0,1,0,0,1
51421_201912_1517,"We will: Support the Paris Agreement by playing a leadership role in international efforts to combat climate change,",,1,51421_201912,2019,51421,United Kingdom,english,201912,MARPOR,TRUE,5,Liberal Democrats,LibDems,40,11.537,51421,1,1,0,1,0,1
41223_202109_5127,"Wir werden alles in unserer Macht Stehende tun, um das Ziel zu erreichen, die Erderwärmung auf 1,5 Grad zu begrenzen",We will do everything in our power to achieve the goal of limiting global warming to 1.5 degrees,1,41223_202109,2021,41223,Germany,german,202109,MARPOR,TRUE,5,The Left,LINKE,,4.9,41223,1,0,1,0,0,1
33220_200003_1981,y por ello debe proponer al Gobierno del Estado que se traspasen masivas inversiones de la carretera al ferrocarril.,and therefore it must propose to the State Government that massive investments be transferred from road to railway.,1,33220_200003,2000,33220,Spain,spanish,200003,MARPOR,TRUE,1,United Left,IU,20,5.449,33220,0,0,0,0,0,0
35120_201910_0036,Ainda é possível travar o aquecimento global e impedir um cenário com consequências desastrosas para vida no Planeta.,It is still possible to stop global warming and prevent a scenario with disastrous consequences for life on the Planet.,1,35120_201910,2019,35120,Portugal,portuguese,201910,MARPOR,TRUE,5,People-Animals-Nature,PAN,,3.493,35120,1,0,1,0,0,1
92021_200710_0783,"Dbają zatem o uzyskanie właściwych proporcji i harmonii między obszarami gospodarczymi, społecznymi i środowiskowymi.","Therefore, they ensure proper proportions and harmony between economic, social and environmental areas.",0,92021_200710,2007,92021,Poland,polish,200710,MARPOR,TRUE,3,Left and Democrats,LiD,30,13.152,92021,0,0,0,0,1,1
13230_200502_0319,Det vil derfor være vigtigt at satse langt mere på udvikling og investering i energibesparelser og vedvarende energi.,It will therefore be important to bet much more on development and investment in energy savings and renewable energy.,1,13230_200502,2005,13230,Denmark,danish,200502,MARPOR,TRUE,2,Socialist People’s Party,SF,20,5.989,13230,0,0,0,1,0,1
33320_200803_2734,"España estaba a la cabeza europea en dependencia energética, en incremento de emisiones de CO2 y consumo de petróleo.","Spain was the European leader in energy dependence, in increased CO2 emissions and oil consumption.",1,33320_200803,2008,33320,Spain,spanish,200803,MARPOR,TRUE,2,Spanish Socialist Workers’ Party,PSOE,30,44.139,33320,0,0,0,1,0,1
14320_201904_0737,"Hiilineutraalisuustavoite vuodelle 2035 tarkoittaa, että päästöjen ja hiilinielujen tulee tuolloin olla tasapainossa.",The carbon neutrality goal for 2035 means that emissions and carbon sinks must be in balance at that time.,1,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,0,0,1,0,1
14320_201904_2975,"Liikenteen osuus Suomen päästöistä on noin viidennes, ja Suomen taakanjakosektorin päästöistä sen osuus on noin 40 %.","Transport accounts for about a fifth of Finland's emissions, and it accounts for about 40% of emissions from the load-sharing sector in Finland.",1,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,0,0,1,0,1
82523_200606_0520,"nicméně je třeba podpořit udržitelný hospodářský, společenský, environmentální i kulturní rozvoj venkovských oblastí,","however, it is necessary to support the sustainable economic, social, environmental and cultural development of rural areas,",0,82523_200606,2006,82523,Czech Republic,czech,200606,MARPOR,TRUE,3,Christian and Democratic Union - Czech People's Party,KDU-ČSL,50,7.23,82523,0,0,0,0,1,1
88451_202010_0769,"PSD neturėtų būti mokamas nuo visų gyventojo vykdomų veiklų ir iš jų gaunamų pajamų, jei yra pasiekiamos PSD „lubos“.","PSD should not be paid on all activities carried out by the resident and the income derived from them, if the PSD ""ceiling"" is reached.",0,88451_202010,2020,88451,Lithuania,lithuanian,202010,MARPOR,TRUE,5,Freedom Party,LP,40,9.44748452,88451,0,0,0,0,0,0
83411_200703_0092,Tagasime pensionikassa jätkusuutlikkuse ning kompenseerisime pensionikassast  tehtud II samba kogumispensioni maksed.,We ensured the sustainability of the pension fund and compensated the II pillar accumulated pension payments made from the pension fund.,0,83411_200703,2007,83411,Estonia,estonian,200703,MARPOR,TRUE,3,Estonian Center Party,K,40,26.08,83411,0,0,0,0,1,1
53240_201602_0178,the devastating impact of the floods in December and January brought home to many the consequences of climate change.,,1,53240_201602,2016,53240,Ireland,english,201602,MARPOR,TRUE,5,Anti-Austerity Alliance,AAA,,1.969,53240,1,1,0,1,0,1
14320_201904_2777,Toisaalta ilmaston lämpenemisen hillintä tarjoaa siihen pyrkivälle elinkeinotoiminnalle kasvavat globaalit markkinat.,"On the other hand, mitigation of global warming offers a growing global market for businesses that strive for it.",1,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,1,1,1,0,1
21426_201006_3313,"Toutefois, il faut garder à l’esprit que le potentiel des énergies renouvelables en Belgique est relativement limité.","However, it should be borne in mind that the potential for renewable energies in Belgium is relatively limited.",1,21426_201006,2010,21426,Belgium,french,201006,MARPOR,TRUE,3,Reform Movement,MR,40,9.278,21426,0,0,0,1,0,1
92050_201910_0400,Umożliwimy tym samym rozwój innowacyjnego przemysłu produkcji autobusów i samochodów dostawczych z napędem wodorowym.,We will thus enable the development of an innovative industry producing hydrogen-powered buses and delivery vehicles.,1,92050_201910,2019,92050,Poland,polish,201910,MARPOR,TRUE,5,Polish Coalition,PSL,50,8.546,92050,0,0,0,0,0,0
97421_200809_0718,"uvedba dajatev za uvoženo električno energijo iz držav, ki niso vključene v evropsko trgovalno shemo z emisijami C02;",the introduction of duties for imported electricity from countries not included in the European C02 emissions trading scheme;,1,97421_200809,2008,97421,Slovenia,slovenian,200809,MARPOR,TRUE,3,Liberal Democracy of Slovenia,LDS,40,5.21,97421,0,0,0,1,0,1
96630_201603_0708,Všetky slovenské rodiny sa tak budú môcť uchádzať o dotáciu a zníženie účtov za energiu v rodinných domoch či bytoch.,All Slovak families will thus be able to apply for a subsidy and reduction of energy bills in family houses or apartments.,1,96630_201603,2016,96630,Slovakia,slovak,201603,MARPOR,TRUE,5,Network,,60,5.607,96630,0,0,0,0,0,0
51421_199705_0289,We will make protection of the natural environment a major feature of the planning system through a new Wildlife Act.,,0,51421_199705,1997,51421,United Kingdom,english,199705,MARPOR,TRUE,1,Liberal Democrats,LibDems,40,16.758,51421,0,0,0,0,1,1
33320_201606_2336,"Y, además, presenta una dinámica positiva y un buen equilibrio entre exportación, recepción y emisión de inversiones.","And, furthermore, it presents a positive dynamic and a good balance between exporting, receiving and issuing investments.",0,33320_201606,2016,33320,Spain,spanish,201606,MARPOR,TRUE,5,Spanish Socialist Workers’ Party,PSOE,30,22.632,33320,0,0,0,1,0,1
97521_200809_0592,"Zato si prizadevamo za minimiziranje eksternih stroškov (nesreče, zastoji, emisije TGP, hrup, obraba infrastrukture).","That is why we strive to minimize external costs (accidents, congestion, TGP emissions, noise, wear and tear of infrastructure).",0,97521_200809,2008,97521,Slovenia,slovenian,200809,MARPOR,TRUE,3,Slovenian People's Party,SLS,50,5.211,97521,0,0,0,1,0,1
80510_200907_0451,Осигуряване на държавна политика за подкрепа на частните инвестиции в енергопроизводството от възобновяеми източници;,Providing a state policy to support private investments in energy production from renewable sources;,1,80510_200907,2009,80510,Bulgaria,bulgarian,200907,MARPOR,TRUE,4,Citizens for European Development of Bulgaria,GERB,50,39.72,80510,0,0,0,1,0,1
80951_201305_0039,превенция на промените в климата с адаптирането им в общите политики за развитие и синергия в устойчивото управление.,prevention of climate changes with their adaptation in common development policies and synergy in sustainable management.,1,80951_201305,2013,80951,Bulgaria,bulgarian,201305,MARPOR,TRUE,4,Movement for Rights and Freedoms,DPS,90,11.307,80951,0,1,0,1,1,1
34212_201509_1928, Συμβολή στην ανάπτυξη  βιώσιμης αστικής κινητικότητας και προώθηση συστημάτων μεταφορών φιλικών προς το περιβάλλον., Contributing to the development of sustainable urban mobility and promoting environmentally friendly transport systems.,1,34212_201509,2015,34212,Greece,greek,201509,MARPOR,TRUE,5,Coalition of the Radical Left,SYRIZA,20,35.46,34212,0,0,0,0,1,1
96424_200209_0137,6. Zavedieme programy podpory pre budovanie nových technologických zariadení využívajúcich obnoviteľné zdroje energie.,6. We will introduce support programs for the construction of new technological facilities using renewable energy sources.,1,96424_200209,2002,96424,Slovakia,slovak,200209,MARPOR,TRUE,1,Alliance of the New Citizen,ANO,40,8.011,96424,0,0,0,1,0,1
35313_201910_0940,"Apostar no desenvolvimento das energias renováveis, o uso de energia renovável é fundamental para a economia circular.","Investing in the development of renewable energy, the use of renewable energy is fundamental to the circular economy.",1,35313_201910,2019,35313,Portugal,portuguese,201910,MARPOR,TRUE,5,Social Democratic Party,PSD,60,29.18,35313,0,0,0,1,0,1
51320_201505_0731,"As we set out in more detail later on, a Labour Government will play a leading global role in tackling climate change.",,1,51320_201505,2015,51320,United Kingdom,english,201505,MARPOR,TRUE,4,Labour Party,Labour,30,30.415,51320,1,1,0,1,0,1
86110_201804_1293,"az ott termelt áram árában azonban érvényesíteni kell a bontással, ártalmatlanítással kapcsolatos várható költségeket.","however, the expected costs related to demolition and disposal must be validated in the price of the electricity produced there.",1,86110_201804,2018,86110,Hungary,hungarian,201804,MARPOR,TRUE,5,Politics Can Be Different,LMP,10,7.055,86110,0,0,0,0,0,0
41320_201709_1544,Dafür werden wir ein staatliches Tierschutzlabel auf Grundlage der Kriterien des Deutschen Tierschutzbundes einführen.,"For this purpose, we will introduce a state animal protection label based on the criteria of the German Animal Welfare Association.",0,41320_201709,2017,41320,Germany,german,201709,MARPOR,TRUE,5,Social Democratic Party of Germany,SPD,30,20.508,41320,0,0,0,0,0,0
13420_200711_0132,Det betyder bl.a. at vi vil gennemføre en reform og effektivisering af støttesystemet til fremme af vedvarende energi.,"This means, among other things, that we will carry out a reform and streamlining of the support system for the promotion of renewable energy.",1,13420_200711,2007,13420,Denmark,danish,200711,MARPOR,TRUE,3,Liberals,V,40,26.26,13420,0,0,0,1,0,1
33420_201512_1696,"Esto es malo para los consumidores, malo para el medio ambiente, y buenísimo para las distribuidoras de hidrocarburos.","This is bad for consumers, bad for the environment, and great for hydrocarbon distributors.",1,33420_201512,2015,33420,Spain,spanish,201512,MARPOR,TRUE,5,Citizens - Party of the Citizens,C's,40,13.94,33420,0,0,0,0,1,1
21112_201905_0239,Het klimaatakkoord van Parijs trekt duidelijke krijtlijnen en legt wereldwijde engagementen vast om dat te realiseren.,The Paris climate agreement sets clear guidelines and establishes global commitments to achieve this.,1,21112_201905,2019,21112,Belgium,dutch,201905,MARPOR,TRUE,5,Green!,groen!,10,6.103,21112,0,1,0,1,0,1
41223_202109_2240,"Mit der Politik der Großen Koalition kann das 1,5-Grad-Ziel bei der Begrenzung der Erderwärmung nicht erreicht werden.",The grand coalition's policy cannot achieve the 1.5 degree target for limiting global warming.,1,41223_202109,2021,41223,Germany,german,202109,MARPOR,TRUE,5,The Left,LINKE,,4.9,41223,1,0,1,0,0,1
51320_201706_1036,"Only a Labour government will prioritise a sustainable, long-term future for our farming, fishing and food industries,",,0,51320_201706,2017,51320,United Kingdom,english,201706,MARPOR,TRUE,5,Labour Party,Labour,30,39.988,51320,0,0,0,0,1,1
21322_201006_1138,"Pour assurer l’avenir de notre planète, il faut lutter davantage contre le réchauffement global du système climatique.","To ensure the future of our planet, we must fight more against the global warming of the climate system.",1,21322_201006,2010,21322,Belgium,french,201006,MARPOR,TRUE,3,Francophone Socialist Party,PS,30,13.704,21322,1,1,1,1,0,1
11620_201409_1270,Tillväxt är en förutsättning för att vi ska kunna komma tillrätta med världens utmaningar på miljö- och klimatområdet.,Growth is a prerequisite for us to be able to cope with the world's environmental and climate challenges.,1,11620_201409,2014,11620,Sweden,swedish,201409,MARPOR,TRUE,5,Moderate Coalition Party,MSP,60,23.325,11620,0,1,0,1,1,1
53951_200705_1634,We believe that carbon reduction and not emissions trading should be the basis of government policy on climate change.,,1,53951_200705,2007,53951,Ireland,english,200705,MARPOR,TRUE,3,We Ourselves,SF,95,6.942,53951,1,1,0,1,0,1
80510_201305_2956,Въз основа на направените предварителни оценки идентифицирахме районите със значителен потенциален риск от наводнения.,"Based on the preliminary assessments made, we have identified the areas with a significant potential risk of flooding.",1,80510_201305,2013,80510,Bulgaria,bulgarian,201305,MARPOR,TRUE,4,Citizens for European Development of Bulgaria,GERB,50,30.539,80510,0,0,0,0,0,0
21112_201405_1951,66.We investeren in de ontwikkeling van warmtenetten waarbij restwarmte op een nuttige manier kan gerecupereerd worden.,66.We invest in the development of heating networks where residual heat can be recovered in a useful way.,1,21112_201405,2014,21112,Belgium,dutch,201405,MARPOR,TRUE,5,Green!,groen!,10,5.322,21112,0,0,0,0,0,0
51320_200106_1775,A £1.6 billion strategy for farming and rural enterprise will redirect subsidies to promote growth and the environment.,,0,51320_200106,2001,51320,United Kingdom,english,200106,MARPOR,TRUE,999,Labour Party,Labour,30,40.67,51320,0,0,0,0,1,1
21521_201405_4348,De Europese Unie heeft het voortouw genomen met haar traject om tegen 2050 de emissies met minstens 80% te verminderen.,The European Union has led the way on a path to reduce emissions by at least 80% by 2050.,1,21521_201405,2014,21521,Belgium,dutch,201405,MARPOR,TRUE,5,Christian Democratic and Flemish,CD&V,50,11.61,21521,0,0,0,1,0,1
87901_201410_0036,"Ģimenes ārsta pieejamība primārās veselības aprūpes nodrošināšanai, tieši tajā brīdī, kad cilvēkam tas ir nepieciešams.","Availability of a family doctor to provide primary health care, exactly at the moment when a person needs it.",0,87901_201410,2014,87901,Latvia,latvian,201410,MARPOR,TRUE,5,Latvian Association of Regions,,90,6.708,87901,0,0,0,0,0,0
21112_201405_3336,"Het werken met vrijwilligers of vertrouwenspersonen zoals in het huidige decreet wordt voorgesteld, volstaat geenszins.",Working with volunteers or confidential counselors as proposed in the current decree is by no means sufficient.,0,21112_201405,2014,21112,Belgium,dutch,201405,MARPOR,TRUE,5,Green!,groen!,10,5.322,21112,0,0,0,0,0,0
32440_201803_0650,"il Patto dei sindaci per aumentare l’efficienza energetica e l’utilizzo di fonti energetiche rinnovabili entro il 2020,","the Covenant of Mayors to increase energy efficiency and the use of renewable energy sources by 2020,",1,32440_201803,2018,32440,Italy,italian,201803,MARPOR,TRUE,5,Democratic Party,PD,30,18.981,32440,0,0,0,1,0,1
32212_200105_1482,"infine, un tale clima, governando le destre, sarebbe propizio a svolte antigarantiste e repressive, se non autoritarie.","finally, such a climate, governed by the right, would be conducive to anti-guarantee and repressive, if not authoritarian, turns.",0,32212_200105,2001,32212,Italy,italian,200105,MARPOR,TRUE,1,Communist Refoundation Party,PRC,20,5.03,32212,0,1,0,1,0,1
87071_201810_0053,"Izveidosim Latvijas inovāciju fondu, valsts līdzekļus ieguldot uz tautsaimniecības izaugsmi vērstas zinātnes attīstībā.","We will establish the Latvian innovation fund, investing state funds in the development of science aimed at the growth of the national economy.",0,87071_201810,2018,87071,Latvia,latvian,201810,MARPOR,TRUE,5,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',,70,11.08,87071,0,0,0,0,0,0
83410_201503_0083,"Kindlustame igale noorele võimaluse osaleda spordi- ja huvitegevuses, loome selleks tervikliku riikliku toetussüsteemi.","We ensure every young person the opportunity to participate in sports and hobby activities, we create a comprehensive national support system for this purpose.",0,83410_201503,2015,83410,Estonia,estonian,201503,MARPOR,TRUE,5,Social Democratic Party,SDE,30,15.186,83410,0,0,0,0,0,0
83410_201903_0678,Kolmekordistame programmi „Teed tolmuvabaks“ – viime mustkatte alla 200 kilomeetrit riigile kuulvaid kruusateid aastas.,"We triple the program ""Roads free of dust"" - we cover 200 kilometers of state-owned gravel roads under the black coating every year.",0,83410_201903,2019,83410,Estonia,estonian,201903,MARPOR,TRUE,5,Social Democratic Party,SDE,30,9.833,83410,0,0,0,0,0,0
86110_201404_1185,"melyek a gazdasági érdekek számottevő csökkentése nélkül biztosíthatják a térség kiegyenlítettebb hő-és vízháztartását,","which can ensure a more balanced heat and water balance in the region without significantly reducing economic interests,",1,86110_201404,2014,86110,Hungary,hungarian,201404,MARPOR,TRUE,5,Politics Can Be Different,LMP,10,5.273,86110,0,0,0,0,0,0
23113_200906_0977,Nous solliciterons le Benelux pour des projets communs dans  le domaine de la lutte contre le réchauffement climatique.,We will ask the Benelux for joint projects in the fight against global warming.,1,23113_200906,2009,23113,Luxembourg,french,200906,MARPOR,TRUE,3,The Greens,,10,11.704,23113,1,1,1,1,0,1
96521_201203_0153,Rozvoj  využívania  obnoviteľných  zdrojov  energií  za podmienky ekologickej udržateľnosti a ekonomickej efektívnosti.,Development of the use of renewable energy sources under conditions of ecological sustainability and economic efficiency.,1,96521_201203,2012,96521,Slovakia,slovak,201203,MARPOR,TRUE,4,Christian Democratic Movement,KDH,50,8.825,96521,0,0,0,1,1,1
96440_201603_1268,Sieťové prepojenia sú základom bezpečnosti a spoľahlivosti dodávok energií pre veľkoodberateľov ako aj maloodberateľov.,Network connections are the basis of security and reliability of energy supplies for both large and small customers.,1,96440_201603,2016,96440,Slovakia,slovak,201603,MARPOR,TRUE,5,Freedom and Solidarity,SaS,40,12.101,96440,0,0,0,0,0,0
14620_201904_0216,"Suomi on monella mittarilla maailman kärkeä ympäristö- ja ilmastovastuullisuudessa, mutta meidänkin on tehtävä enemmän.","By many measures, Finland is at the top of the world in environmental and climate responsibility, but we too have to do more.",1,14620_201904,2019,14620,Finland,finnish,201904,MARPOR,TRUE,5,National Coalition,KK,60,17.001,14620,0,1,0,1,1,1
35060_201510_1694,"Trata-se, para Portugal, de uma alteração de paradigma: de bom utilizador de renováveis, para exportador de renováveis.","For Portugal, this is a paradigm shift: from a good user of renewables to an exporter of renewables.",1,35060_201510,2015,35060,Portugal,portuguese,201510,MARPOR,TRUE,5,Portugal Ahead,PàF,60,40.034,35060,0,0,0,1,0,1
88451_202010_1996,"Tuo pat metu, ES kartu su šiomis valstybėmis kartu formuos globalią darbotvarkę kovojant su klimato kaitos padariniais.","At the same time, the EU will work together with these countries to shape the global agenda to combat the effects of climate change.",1,88451_202010,2020,88451,Lithuania,lithuanian,202010,MARPOR,TRUE,5,Freedom Party,LP,40,9.44748452,88451,0,1,0,1,0,1
97421_200809_3665,"Vzpostavili bomo ustrezno pravno okolje ter zagotovili kadrovsko, institucionalno in finančno neodvisnost regulatorjev.","We will establish an appropriate legal environment and ensure the personnel, institutional and financial independence of the regulators.",0,97421_200809,2008,97421,Slovenia,slovenian,200809,MARPOR,TRUE,3,Liberal Democracy of Slovenia,LDS,40,5.21,97421,0,0,0,0,1,1
92436_201910_1121,W celu zapewnienia bezpieczeństwa Rzeczpospolitej Polskiej rozpoczniemy budowę polskiej fabryki leków osoczopochodnych.,"In order to ensure the safety of the Republic of Poland, we will begin the construction of a Polish factory for plasma-derived drugs.",0,92436_201910,2019,92436,Poland,polish,201910,MARPOR,TRUE,5,Law and Justice,PiS,60,43.593,92436,0,0,0,0,0,0
41420_202109_1746,"Wir bekennen uns ausdrücklich zu dem Ziel aus dem Pariser Abkommen, die Erderwärmung auf 1,5 Grad Celsius zu begrenzen.",We are expressly committed to the goal of the Paris Agreement of limiting global warming to 1.5 degrees Celsius.,1,41420_202109,2021,41420,Germany,german,202109,MARPOR,TRUE,5,Free Democratic Party,FDP,40,11.5,41420,1,0,1,0,0,1
